level;year;ibge_code;ibge_label;field_code;field_label
primary_and_secondary_education;1960;0;Sem Curso Completo;99;Not applicable (without a degree)
primary_and_secondary_education;1960;10;Primário/Elementar;10;General Education
primary_and_secondary_education;1960;11;Comercial - Elementar;21;Administration and Business 
primary_and_secondary_education;1960;13;Saúde e Serviços Sanitários - Elementar;27;Health, Sanitation, and Social Work
primary_and_secondary_education;1960;14;Militar Elementar - Elementar;24;Military
primary_and_secondary_education;1960;15;Agricultura e Pecuária - Elementar;23;Agriculture and Fishing
primary_and_secondary_education;1960;16;Emendativo - Elementar;50;Special Education
primary_and_secondary_education;1960;17;Industrial - Elementar;22;Repairing, Manufacturing, and Craftwork
primary_and_secondary_education;1960;19;Outros - Elementar;29;Other Vocational
primary_and_secondary_education;1960;20;Ginasial;10;General Education
primary_and_secondary_education;1960;21;Comercial - 1º Grau / Médio 1º Ciclo;21;Administration and Business 
primary_and_secondary_education;1960;22;Normal/Pedagógico - 1º Grau / Médio 1º Ciclo;20;Teaching and education
primary_and_secondary_education;1960;24;Militar - 1º Grau / Médio 1º Ciclo;24;Military
primary_and_secondary_education;1960;25;Agricultura e Pecuária - 1º Grau / Médio 1º Ciclo;23;Agriculture and Fishing
primary_and_secondary_education;1960;26;Emendativo - 1º Grau / Médio 1º Ciclo;50;Special Education
primary_and_secondary_education;1960;27;Industrial - 1º Grau / Médio 1º Ciclo;22;Repairing, Manufacturing, and Craftwork
primary_and_secondary_education;1960;29;Outros - 1º Grau / Médio 1º Ciclo;29;Other Vocational
primary_and_secondary_education;1960;33;Serviços Sanitários - 1º Grau / Médio 1º Ciclo;27;Health, Sanitation, and Social Work
primary_and_secondary_education;1960;34;Militar Médio - 1º Grau / Médio 1º Ciclo;24;Military
primary_and_secondary_education;1960;36;Educação Física - 1º Grau / Médio 1º Ciclo;26;Phisical Education
primary_and_secondary_education;1960;38;Eclesiástico - 1º Grau / Médio 1º Ciclo;25;Religious/Eclesiastic
primary_and_secondary_education;1960;39;Outros Níveis Médios (1º Grau / Médio 1º Ciclo);29;Other Vocational
primary_and_secondary_education;1960;40;Colegial/Científico;10;General Education
primary_and_secondary_education;1960;41;Comercial - 2º Grau;21;Administration and Business 
primary_and_secondary_education;1960;42;Normal/Pedagógico - 2º Grau;20;Teaching and education
primary_and_secondary_education;1960;44;Militar - 2º Grau;24;Military
primary_and_secondary_education;1960;45;Agricultura e Pecuária - 2º Grau;23;Agriculture and Fishing
primary_and_secondary_education;1960;47;Industrial - 2º Grau;22;Repairing, Manufacturing, and Craftwork
primary_and_secondary_education;1960;49;Outros - 2º Grau;29;Other Vocational
primary_and_secondary_education;1960;89;Curso com grau não especificado;90;Unknown
primary_and_secondary_education;1960;99;Ignorado ;90;Unknown
primary_and_secondary_education;1970;0;sem declaração;99;Not applicable (without a degree)
primary_and_secondary_education;1970;10;primário;10;General Education
primary_and_secondary_education;1970;11;agrícola elementar;23;Agriculture and Fishing
