year;ibge_code;ibge_label;isco88_4digit;isco88_4digit_LABEL
1960;111;Agricultores (fazendeiros);1311;General managers in agriculture, hunting, forestry/ and fishing
1960;112;Pecuaristas;1311;General managers in agriculture, hunting, forestry/ and fishing
1960;113;Avicultores e criadores de pequenos animais;1311;General managers in agriculture, hunting, forestry/ and fishing
1960;114;Industriais;1222;Production and operations department managers in manufacturing
1960;115;Comerciantes;1314;General managers in wholesale and retail trade
1960;116;Hoteleiros e donos de pensão;1315;General managers of restaurants and hotels
1960;117;Outros proprietários;1319;General managers not elsewhere classified
1960;121;Administradores, diretores e assistentes no serviço público (inclusive cargos eletivos).;1120;Senior government officials
1960;122;Diretores e gerentes de bancos e companhias de seguros;1227;Production and operations department managers in business services
1960;123;Administradores e gerentes na agropecuária;1311;General managers in agriculture, hunting, forestry/ and fishing
1960;124;Outros administradores, diretores e gerentes;1319;General managers not elsewhere classified
1960;181;Coletores e exatores;3449;Customs, tax and related government associate professionals not elsewhere classified
1960;182;Caixas e tesoureiros;4211;Cashiers and ticket clerks
1960;183;Cobradores;4211;Cashiers and ticket clerks
1960;184;Contadores e guarda-livros;2419;Business professionals not elsewhere classified
1960;185;Despachantes (regularização de documentos);4133;Transport clerks
1960;186;Almoxarifes e armazenistas;4131;Stock clerks
1960;187;Datilógrafos;4115;Secretaries
1960;188;Taquígrafos;4115;Secretaries
1960;189;Operadores de apuração mecânica;4141;Library and filing clerks
1960;191;Auxiliares de escritório e de administração em geral;4190;Other office clerks
1960;211;Engenheiros;2142;Civil engineers
1960;212;Arquitetos;2141;Architects, town and traffic planners
1960;213;Agrimensores e topógrafos;3118;Draughtspersons
1960;214;Desenhistas e cartógrafos;3118;Draughtspersons
1960;215;Químicos;2113;Chemists
1960;216;Farmacêuticos;2224;Pharmacists
1960;217;Práticos de farmácia;3228;Pharmaceutical assistants
1960;218;Laboratoristas;3116;Chemical engineering technicians
1960;221;Agrônomos;2213;Agronomists and related professionals
1960;222;Veterinários;2223;Veterinarians
1960;223;Naturalistas;3229;Modern health associate professionals (except nursing) not elsewhere classified
1960;231;Médicos;2221;Medical doctors
1960;232;Dentistas;2222;Dentists
1960;241;Assistentes sociais;2446;Social work professionals
1960;242;Parteiras;3231;Nursing associate professionals
1960;243;Enfermeiros e massagistas;3231;Nursing associate professionals
1960;244;Protéticos;7311;Precision-instrument makers and repairers
1960;245;Operadores de Raios X e Ortopedistas práticos;3211;Life science technicians
1960;251;Matemáticos e Físicos;2122;Statisticians
1960;252;Professores primários;2331;Primary education teaching professionals
1960;253;Professores secundários;2320;Secondary education teaching professionals
1960;254;Professores superiores;2310;College, university and higher education teaching professionals
1960;255;Professores sem especificação;2359;Other teaching professionals not elsewhere classified
1960;256;Sociólogos, economistas, atuários e estatísticos;2441;Economists
1960;257;Inspetores de alunos;3340;Other teaching associate professionals
1960;261;Magistrados;2422;Judges
1960;262;Procuradores, Promotores e Curadores públicos;2421;Lawyers
1960;263;Advogados e defensores públicos;2421;Lawyers
1960;264;Tabeliães e oficiais de registro;3432;Legal and related business associate professionals
1960;265;Escrivães e auxiliares de justiça;3432;Legal and related business associate professionals
1960;271;Religiosos;2460;Religious professionals
1960;281;Escritores e jornalistas;2451;Authors, journalists and other writers
1960;291;Escultores e pintores;2452;Sculptors, painters and related artists
1960;292;Técnicos de publicidade;2451;Authors, journalists and other writers
1960;293;Decoradores e cenógrafos;3471;Decorators and commercial designers
